top_category,sub_category,naics_code,n_pois,naics_2digit
"Foundation, Structure, and Building Exterior Contractors",Poured Concrete Foundation and Structure Contractors,238110,1,23
"Foundation, Structure, and Building Exterior Contractors",Roofing Contractors,238160,67,23
Freight Transportation Arrangement,Freight Transportation Arrangement,488510,508,48
Furniture Stores,Furniture Stores,442110,45334,44
Gambling Industries,Casinos (except Casino Hotels),713210,9102,71
Gambling Industries,Other Gambling Industries,713290,286,71
Gasoline Stations,Gasoline Stations with Convenience Stores,447110,131573,44
Gasoline Stations,Other Gasoline Stations,447190,39,44
General Freight Trucking,"General Freight Trucking, Local",484110,3,48
General Freight Trucking,"General Freight Trucking, Long-Distance, Truckload",484121,1,48
General Medical and Surgical Hospitals,General Medical and Surgical Hospitals,622110,29602,62
"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319,44778,45
"General Merchandise Stores, including Warehouse Clubs and Supercenters",Warehouse Clubs and Supercenters,452311,8180,45
General Rental Centers,General Rental Centers,532310,1825,53
Glass and Glass Product Manufacturing,Other Pressed and Blown Glass and Glassware Manufacturing,327212,1144,32
Grantmaking and Giving Services,Other Grantmaking and Giving Services,813219,1335,81
Grantmaking and Giving Services,Voluntary Health Organizations,813212,368,81
"Greenhouse, Nursery, and Floriculture Production",Nursery and Tree Production,111421,468,11
Grocery Stores,Convenience Stores,445120,63299,44
Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,85205,44
Grocery and Related Product Merchant Wholesalers,Dairy Product (except Dried or Canned) Merchant Wholesalers,424430,26,42
Grocery and Related Product Merchant Wholesalers,General Line Grocery Merchant Wholesalers,424410,28,42
Grocery and Related Product Merchant Wholesalers,Other Grocery and Related Products Merchant Wholesalers,424490,483,42
Grocery and Related Product Merchant Wholesalers,Packaged Frozen Food Merchant Wholesalers,424420,1,42
Hardware Manufacturing,Hardware Manufacturing,332510,77,33
"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",Hardware Merchant Wholesalers,423710,533,42
"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,423720,1048,42
"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",Refrigeration Equipment and Supplies Merchant Wholesalers,423740,347,42
"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,423730,23299,42
Health and Personal Care Stores,All Other Health and Personal Care Stores,446199,7168,44
Health and Personal Care Stores,"Cosmetics, Beauty Supplies, and Perfume Stores",446120,26333,44
Health and Personal Care Stores,Food (Health) Supplement Stores,446191,15283,44
Health and Personal Care Stores,Optical Goods Stores,446130,10654,44
Health and Personal Care Stores,Pharmacies and Drug Stores,446110,98959,44
"Highway, Street, and Bridge Construction","Highway, Street, and Bridge Construction",237310,1,23
Home Furnishings Stores,All Other Home Furnishings Stores,442299,4771,44
Home Furnishings Stores,Floor Covering Stores,442210,3896,44
Home Furnishings Stores,Window Treatment Stores,442291,46,44
Home Health Care Services,Home Health Care Services,621610,22135,62
